Family,Station,total.count,depth_bin
Acanthuridae,NA112-H1768,20,"(100,150]"
Acanthuridae,NA112-H1768,4,"(100,150]"
Acanthuridae,NA112-H1768,20,"(100,150]"
Acanthuridae,NA112-H1768,30,"(100,150]"
Acanthuridae,NA112-H1768,20,"(100,150]"
Acanthuridae,NA112-H1768,20,"(100,150]"
Acanthuridae,NA112-H1768,20,"(100,150]"
Acanthuridae,NA112-H1768,7,"(100,150]"
Acanthuridae,NA112-H1768,5,"(100,150]"
Acropomatidae,NA112-H1767,1,"(400,450]"
Acropomatidae,D2-EX1702-13,1,"(450,500]"
Acropomatidae,NA112-H1767,1,"(450,500]"
Acropomatidae,NA112-H1767,1,"(450,500]"
Acropomatidae,D2-EX1702-02,1,"(450,500]"
Acropomatidae,NA112-H1767,1,"(550,600]"
Acropomatidae,NA112-H1766,1,"(600,650]"
Acropomatidae,NA112-H1767,1,"(600,650]"
Acropomatidae,NA112-H1767,1,"(600,650]"
Acropomatidae,NA112-H1767,1,"(600,650]"
Acropomatidae,NA112-H1767,1,"(600,650]"
Acropomatidae,NA112-H1767,1,"(650,700]"
Acropomatidae,NA112-H1766,1,"(650,700]"
Acropomatidae,NA112-H1766,1,"(700,750]"
Acropomatidae,D2-EX1504L4-01,1,"(350,400]"
Acropomatidae,D2-EX1706-01,3,"(450,500]"
Acropomatidae,D2-EX1706-01,1,"(450,500]"
Acropomatidae,D2-EX1706-01,1,"(450,500]"
Acropomatidae,D2-EX1706-01,1,"(450,500]"
Acropomatidae,D2-EX1706-01,1,"(450,500]"
Acropomatidae,D2-EX1705-05,1,"(350,400]"
Acropomatidae,D2-EX1705-05,1,"(350,400]"
Acropomatidae,D2-EX1705-05,1,"(350,400]"
Acropomatidae,D2-EX1705-05,1,"(350,400]"
Acropomatidae,D2-EX1705-05,1,"(400,450]"
Acropomatidae,D2-EX1703-08,1,"(650,700]"
Acropomatidae,D2-EX1705-05,1,"(700,750]"
Acropomatidae,D2-EX1705-05,1,"(700,750]"
Acropomatidae,D2-EX1705-05,1,"(750,800]"
Acropomatidae,D2-EX1705-05,1,"(750,800]"
Alepocephalidae,D2-EX1702-03,1,"(2.4e+03,2.45e+03]"
Alepocephalidae,D2-EX1603-04,1,"(1.5e+03,1.55e+03]"
Alepocephalidae,D2-EX1504L2-10,1,"(2e+03,2.05e+03]"
Alepocephalidae,D2-EX1605L3-19,1,"(1.7e+03,1.75e+03]"
Alepocephalidae,D2-EX1606-12,1,"(1.2e+03,1.25e+03]"
Aphyonidae,D2-EX1605L3-14,1,"(2.5e+03,2.55e+03]"
Apogonidae,NA112-H1768,1,"(100,150]"
Ariommatidae,D2-EX1702-09,1,"(700,750]"
Ariommatidae,D2-EX1605L3-08,1,"(300,350]"
Ateleopodidae,NA112-H1767,1,"(250,300]"
Ateleopodidae,D2-EX1504L4-01,1,"(300,350]"
Ateleopodidae,D2-EX1504L4-01,1,"(300,350]"
Ateleopodidae,D2-EX1504L4-01,1,"(300,350]"
Ateleopodidae,D2-EX1504L4-01,1,"(300,350]"
Ateleopodidae,D2-EX1504L4-01,1,"(300,350]"
Ateleopodidae,D2-EX1504L4-01,1,"(300,350]"
Ateleopodidae,D2-EX1605L1-18,1,"(300,350]"
Ateleopodidae,D2-EX1605L1-18,1,"(300,350]"
Aulostomidae,NA112-H1768,1,"(100,150]"
Balistidae,NA112-H1768,1,"(100,150]"
Balistidae,NA112-H1768,1,"(100,150]"
Balistidae,NA112-H1768,1,"(100,150]"
Balistidae,NA112-H1768,1,"(100,150]"
Balistidae,NA112-H1768,1,"(100,150]"
Balistidae,NA112-H1768,5,"(100,150]"
Balistidae,NA112-H1768,1,"(100,150]"
Balistidae,NA112-H1768,1,"(100,150]"
Balistidae,NA112-H1768,1,"(100,150]"
Balistidae,NA112-H1768,3,"(100,150]"
Balistidae,NA112-H1768,3,"(100,150]"
Balistidae,NA112-H1768,4,"(100,150]"
Barbourisiidae,D2-EX1605L1-08,1,"(1.3e+03,1.35e+03]"
Barbourisiidae,D2-EX1703-15,1,"(1.25e+03,1.3e+03]"
Barbourisiidae,D2-EX1703-15,1,"(1.3e+03,1.35e+03]"
Bathysauridae,NA101-H1726,1,"(2.6e+03,2.65e+03]"
Bathysauridae,D2-EX1708-07,1,"(2e+03,2.05e+03]"
Bathysauridae,D2-EX1708-14,1,"(2.55e+03,2.6e+03]"
Bathysauridae,D2-EX1708-09,1,"(3.05e+03,3.1e+03]"
Bathysauridae,D2-EX1603-01,1,"(4.25e+03,4.3e+03]"
Bathysauridae,D2-EX1605L1-07,1,"(2.25e+03,2.3e+03]"
Bathysauridae,D2-EX1605L1-11,1,"(3.25e+03,3.3e+03]"
Bathysauridae,D2-EX1605L1-13,1,"(3.65e+03,3.7e+03]"
Bathysauridae,D2-EX1605L3-13,1,"(4.8e+03,4.85e+03]"
Bathysauridae,D2-EX1605L3-13,1,"(4.8e+03,4.85e+03]"
Bathysauridae,D2-EX1605L3-13,1,"(4.8e+03,4.85e+03]"
Bathysauridae,D2-EX1705-08,1,"(4.45e+03,4.5e+03]"
Bembridae,D2-EX1702-10,1,"(550,600]"
Bembridae,D2-EX1703-10,1,"(500,550]"
Bembridae,D2-EX1703-10,2,"(500,550]"
Bembridae,D2-EX1703-10,1,"(550,600]"
Berycidae,NA112-H1767,1,"(200,250]"
Berycidae,NA112-H1767,1,"(250,300]"
Berycidae,D2-EX1706-04,1,"(400,450]"
Berycidae,D2-EX1504L3-03,1,"(450,500]"
Berycidae,D2-EX1504L3-03,1,"(450,500]"
Berycidae,D2-EX1706-04,1,"(450,500]"
Berycidae,D2-EX1706-04,1,"(450,500]"
Berycidae,D2-EX1504L4-02,1,"(500,550]"
Berycidae,D2-EX1605L3-06,1,"(250,300]"
